DELIVERYTIME,NOOFLINES,STATUS,TOURNO,Country_EU
2021-09-06 00:00:00.000,2,10, ,
2021-09-06 00:00:00.000,2,10, ,
2021-09-06 00:00:00.000,3,10, ,
2022-02-21 00:00:00.000,4,30,SK01,
2022-02-21 00:00:00.000,1,30,SK01,
2021-09-06 00:00:00.000,3,10, ,
2019-12-17 00:00:00.000,3,10, ,
2021-09-06 00:00:00.000,4,10, ,
2020-10-01 00:00:00.000,1,10, ,
2021-09-06 00:00:00.000,5,10, ,
2021-09-06 00:00:00.000,1,10, ,
2021-09-06 00:00:00.000,3,10, ,
2021-03-01 00:00:00.000,2,10, ,
2020-10-01 00:00:00.000,0,10, ,
2021-09-06 00:00:00.000,3,10, ,
2021-09-06 00:00:00.000,3,10, ,
2021-09-06 00:00:00.000,3,10, ,
2021-09-06 00:00:00.000,1,10, ,
2021-09-06 00:00:00.000,4,10, ,
2022-02-24 00:00:00.000,87,10,GE05,
2021-07-02 00:00:00.000,5,10, ,
2021-08-30 00:00:00.000,1,10, ,
2022-02-22 00:00:00.000,6,30,MX05,
2021-12-27 00:00:00.000,2,10, ,
2021-08-19 00:00:00.000,1,10, ,
2020-09-17 00:00:00.000,5,10, ,
2020-11-26 00:00:00.000,5,10, ,
2022-02-23 00:00:00.000,56,30,GR05,
2022-02-23 00:00:00.000,95,30,GR05,
2022-02-22 00:00:00.000,84,30,AT05,
2022-02-22 00:00:00.000,161,30,AT05,
2022-02-22 00:00:00.000,85,30,AT05,
2019-04-04 00:00:00.000,3,10, ,
2019-10-25 00:00:00.000,1,10, ,
2019-10-25 00:00:00.000,4,10, ,
2022-02-24 00:00:00.000,8,10,AT05,
2020-09-17 00:00:00.000,3,10, ,
2022-02-23 00:00:00.000,54,30,BR05,
2022-02-21 00:00:00.000,17,30,US05,
2022-02-21 00:00:00.000,26,30,US05,
2022-02-24 00:00:00.000,93,10,GE05,
2022-02-22 00:00:00.000,49,30,MY05,
2022-02-22 00:00:00.000,39,30,MY05,
2022-02-22 00:00:00.000,31,30,MY05,
2022-02-22 00:00:00.000,3,30,MY05,
2022-02-22 00:00:00.000,182,30,MY05,
2022-02-21 00:00:00.000,14,30,US05,
2022-02-22 00:00:00.000,13,30,MY05,
2022-02-21 00:00:00.000,5,30,US05,
2022-02-21 00:00:00.000,7,30,US05,
2022-02-18 00:00:00.000,1,30,PT05,
2022-02-21 00:00:00.000,19,30,US05,
2022-02-18 00:00:00.000,4,30,FR05,
2021-09-15 00:00:00.000,5,10, ,
2022-02-22 00:00:00.000,0,30,JP05,
2022-03-21 00:00:00.000,41,10,IN05,
